fp_sol,normalized_hash,label,n_assessments,n_positive,n_negative,n_assessed_types,assessed_types,positive_types,assessed_swcs,source_datasets,source_path,v1_labels,v1_splits,same_label,conflict_reason
0217712a4345288b8a3ba6c16c33b1c9,f5323fe04542aa17c129f1928ed8810e7ebf6916949ba019ad5f78568a4f2599,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\0217712a4345288b8a3ba6c16c33b1c9.sol,0,val,False,cgt_v1_label_conflict
08c780e746242435dab4f0edfdd708e4,8fe764e4e38e1dfaa9bf9e34a04c3abb1c77e51f708f341bac168dca9e00900a,0,5,0,5,5,bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,104|107|113|114|120,NPChecker,C:\Users\Exauce\Documents\smart-contract-cgt\source\08c780e746242435dab4f0edfdd708e4.sol,1,val,False,cgt_v1_label_conflict
0aef6c211111272d7254889fc692314e,d47ea964beca3feff199a5b273efd539c819860b0832141d53f07b9709d65094,1,7,4,3,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|front_running|reentrancy|unchecked_low_calls,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0aef6c211111272d7254889fc692314e.sol,0,train,False,cgt_v1_label_conflict
0bc87b374140bf4b45301142388b1ac2,28673a856def5b91521c587b7cc8d83f9e3bf22415ae6624cf2fa93003654a4f,0,4,0,4,4,denial_service|front_running|reentrancy|unchecked_low_calls,,104|107|113|114,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\0bc87b374140bf4b45301142388b1ac2.sol,1,test,False,cgt_v1_label_conflict
13371f6fcfda3a0fb88e0d404700725f,de38a420aa9950a3b54b2a2c55c2fcec119ce88ec8778c9e11cb1fc87544b2fc,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\13371f6fcfda3a0fb88e0d404700725f.sol,0,val,False,cgt_v1_label_conflict
15c7b09fde87ff4c25709229e8d86e9f,bf008778cbc63fd8c1adcbeee2adc61ac9050a5c73268330c79fbf5e22123711,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\15c7b09fde87ff4c25709229e8d86e9f.sol,0,train,False,cgt_v1_label_conflict
182b0e2f9cdb89bd4b9eb5e986ceab1d,10f116b0dbd75aa0657ee889bb2ebc5eebe955b1f5bafdfc642014d0f4b508c6,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\182b0e2f9cdb89bd4b9eb5e986ceab1d.sol,0,train,False,cgt_v1_label_conflict
18731bf4901e60907f304ae330903785,f15d893953d384cc3e8651715bf18237b3264d93b5df9112c7966cdbcf900042,1,8,4,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|front_running|unchecked_low_calls,101|104|107|113|114|120,ContractFuzzer|Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\18731bf4901e60907f304ae330903785.sol,0,test,False,cgt_v1_label_conflict
1b1f54b3f4cefadf796b2e17b05cc2e7,817d529e1f4b08e01e9bbc20399811c2be9d1e049505d463bab762c3b0cce1db,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,reentrancy,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\1b1f54b3f4cefadf796b2e17b05cc2e7.sol,0,train,False,cgt_v1_label_conflict
1c441ae481d5647eebcbfbd62e323c43,e9f5209425a1ad2a8775b52baacb0b25380c0170942529053cf5cc995d3b8032,1,6,2,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,denial_service|front_running,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\1c441ae481d5647eebcbfbd62e323c43.sol,0,train,False,cgt_v1_label_conflict
1f64671037738fde256290124afa3ce4,733915666d14196dbd74dfc176c6f8c2649bead71a2d038c67fddaad423d9325,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|reentrancy,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\1f64671037738fde256290124afa3ce4.sol,0,train,False,cgt_v1_label_conflict
20e72cb95d983104a0963965538d7243,c40ec6218bbe5c713d450dfb8c03ebd256f7def1de400e048d88417f06dcf760,0,1,0,1,1,reentrancy,,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\20e72cb95d983104a0963965538d7243.sol,1,train,False,cgt_v1_label_conflict
26ef291a1db4a549e0225295427fe8d1,3759ca35ed6081c5e9530ffb73f91389079be1e4f6aa10dae5136a4f03d96425,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\26ef291a1db4a549e0225295427fe8d1.sol,0,train,False,cgt_v1_label_conflict
26f8be1c92078220de7f8c9de26398b3,4e913bbb1c3500dc164fcadaa614cc5131eefa8281fddf02b8da4128edbec698,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\26f8be1c92078220de7f8c9de26398b3.sol,0,train,False,cgt_v1_label_conflict
28a57a070ba417225137d7548eae53f5,7c2a8b3df42369f34be8d4f31613885b51b4cbc72a94c84c83399232f909fb03,1,1,1,0,1,arithmetic,arithmetic,101,EverEvolvingG,C:\Users\Exauce\Documents\smart-contract-cgt\source\28a57a070ba417225137d7548eae53f5.sol,0,train,False,cgt_v1_label_conflict
