fp_sol,normalized_hash,label,n_assessments,n_positive,n_negative,n_assessed_types,assessed_types,positive_types,assessed_swcs,source_datasets,source_path,v1_labels,v1_splits,same_label,conflict_reason
00805ffc6f3b3ead5a87d50efd5ac2be,5adec12ef42fb0b6989bcaefd7dbb8919a659882e8c4c690ed07c5756c8fb5e5,1,6,3,3,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|denial_service|front_running,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\00805ffc6f3b3ead5a87d50efd5ac2be.sol,1,val,True,
0109eb4190332c1261dedf7275cecdc2,02271211fbf298f0bea3835d948f949d61960f800a40e5f9c76b56a42b35a9b7,1,7,4,3,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|bad_randomness|denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0109eb4190332c1261dedf7275cecdc2.sol,1,train,True,
0120a2934d0ffe4b904830fe899f554b,a24534f41eb3384213fb36e8b8b7dc957ba07171d96156001a725d3aece30515,1,3,3,0,1,unchecked_low_calls,unchecked_low_calls,104,ContractFuzzer|Doublade|SBcurated,C:\Users\Exauce\Documents\smart-contract-cgt\source\0120a2934d0ffe4b904830fe899f554b.sol,1,val,True,
014a0178b1fb411bcff909ff91c1f21f,5cc2fc99d2b994a8c07cd20f6739d70fb153d06cb5afb39e8a1a27f2f82eb97a,1,7,2,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,denial_service|front_running,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\014a0178b1fb411bcff909ff91c1f21f.sol,0|1,train,True,
01a8f206b8a8d4ad2fd3fd8f03f70ec5,70b8c1f613136ec2c7443fc4a4a82507c83bb5ef883768599ac7b32142b20701,0,7,0,7,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\01a8f206b8a8d4ad2fd3fd8f03f70ec5.sol,0,val,True,
02000921b6e69ce9772624164efe30d6,0f27869d89367ecb35fbd45a43df1294045ea083f768079001e951f13d716f54,0,7,0,7,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\02000921b6e69ce9772624164efe30d6.sol,0,test,True,
0217712a4345288b8a3ba6c16c33b1c9,f5323fe04542aa17c129f1928ed8810e7ebf6916949ba019ad5f78568a4f2599,1,1,1,0,1,front_running,front_running,114,EthRacer,C:\Users\Exauce\Documents\smart-contract-cgt\source\0217712a4345288b8a3ba6c16c33b1c9.sol,0,val,False,cgt_v1_label_conflict
037b28dd4a4145b2363c3e823896d5ba,84c26f72a3c3b2294fce6ed6c399556d3b25eb939a6d3b5c002d06ce24597fb5,1,1,1,0,1,unchecked_low_calls,unchecked_low_calls,104,SBcurated,C:\Users\Exauce\Documents\smart-contract-cgt\source\037b28dd4a4145b2363c3e823896d5ba.sol,1,test|train,True,
039204deeed2612d8cec03eb9be3d5ac,e55df67556b662d5af3b0b81d5b4ba315080fc0c71c11f23f927f0010adf1af3,1,7,1,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\039204deeed2612d8cec03eb9be3d5ac.sol,1,train,True,
03a00e68822a241ced930d4091b94e60,030be1090458e5d9692308daec34856a1226a583abeda32696b369fa87f51115,1,1,1,0,1,unchecked_low_calls,unchecked_low_calls,104,SBcurated,C:\Users\Exauce\Documents\smart-contract-cgt\source\03a00e68822a241ced930d4091b94e60.sol,1,train,True,
0631b0de9a3a0e8bfa7461055a38f15f,270054c69bc940c15896126b6c12315af9463a8a27f8fc6dc45f33ede87ec6bd,1,1,1,0,1,unchecked_low_calls,unchecked_low_calls,104,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\0631b0de9a3a0e8bfa7461055a38f15f.sol,1,train|val,True,
