fp_sol,normalized_hash,label,n_assessments,n_positive,n_negative,n_assessed_types,assessed_types,positive_types,assessed_swcs,source_datasets,source_path
002d5f79eff9f8d6d47a61fdaf5bf0c6,97cc995702f62b145df3a82af50d3a1d928362ff476348acb021a89746d4387e,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\002d5f79eff9f8d6d47a61fdaf5bf0c6.sol
007c010f1192c459d19859ee01c41a34,1195baf722ef81e047d6e61f86f81ea89dfc5edb7065e855012dc003a092e11e,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\007c010f1192c459d19859ee01c41a34.sol
01271d3f726e5ffa37cb1e5a63cb46cf,d267e4d3ba30b6b7ab4d10b69ccb79e8971ced90711ff18e4ec64694c76ae441,0,7,0,7,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\01271d3f726e5ffa37cb1e5a63cb46cf.sol
012b77d1fa64612af6fef88f508da29f,28d6727649a1c2e69c59312baef4e73b9a50c1e6dda21c10f0cc7464c245b866,0,7,0,7,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\012b77d1fa64612af6fef88f508da29f.sol
0159c822c3534814c305794c27890468,936eed0c1bdb70cf456f605d3b14f7a3e33950f6cfef29466d5b43fee582619e,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|front_running|unchecked_low_calls,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\0159c822c3534814c305794c27890468.sol
015dae34f46e9ffa688fe4f48b39805d,19c2b2e6eb26c12b7344193cfab45bff55b66c036965d5c5b588aa604fe70822,1,8,2,6,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,reentrancy|unchecked_low_calls,101|104|107|113|114|120,ContractFuzzer|Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\015dae34f46e9ffa688fe4f48b39805d.sol
018e9418a46c3e7cccb7975b4f3b785d,2e9c315c0929f07afb4b99c1fb2f448223131a30bfce53f4d5765ecd96f4a86c,1,5,2,3,5,arithmetic|bad_randomness|denial_service|front_running|unchecked_low_calls,arithmetic|front_running,101|104|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\018e9418a46c3e7cccb7975b4f3b785d.sol
01a5db3b517a437d31f790564d8a0149,3acecbb898fb36d3160808f6aa092a8174c37730018c396e38091222c80c3a2d,0,4,0,4,3,bad_randomness|denial_service|unchecked_low_calls,,104|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\01a5db3b517a437d31f790564d8a0149.sol
01affacb32dcc51263a8bd96d85c0929,cab2dbea203cd56da4ebe84027e1d1a3e0bb26248138edf998a17728cd7695c6,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\01affacb32dcc51263a8bd96d85c0929.sol
01d3a06244c775067a25e643e2e3af73,22b8d6609013987e7732b631f19b2723bc2b883a2a598e0a04e7d61ef4eb60d7,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\01d3a06244c775067a25e643e2e3af73.sol
01d6874c297e4148ee3263503ff762b8,37040906a83e5705e0b44cccdd2aa6839cb75f69794e776c3f080ff72ee2d7ea,0,4,0,4,3,bad_randomness|denial_service|unchecked_low_calls,,104|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\01d6874c297e4148ee3263503ff762b8.sol
01dd4a2eacf1f751bcf9070bca20c3a2,f6cfa14c0ad926e59d54820077b789e973f2818d55224a511ec08e4d62b2ce8a,1,1,1,0,1,reentrancy,reentrancy,107,Doublade,C:\Users\Exauce\Documents\smart-contract-cgt\source\01dd4a2eacf1f751bcf9070bca20c3a2.sol
0222f84964a3db6d24ca1b21b09fa6f1,159735b1db04dcfca9807cf37f382767b08aa6940f2028dcfe8a338d8ffe6cdf,0,5,0,5,5,bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,,104|107|113|114|120,NPChecker,C:\Users\Exauce\Documents\smart-contract-cgt\source\0222f84964a3db6d24ca1b21b09fa6f1.sol
023f3948c8f45b566e362749fd58f978,92d114c6df29f57d598850e9d0d25f4c7c03c1c736aeef46ad24fe8d2c96c3b9,1,1,1,0,1,unchecked_low_calls,unchecked_low_calls,104,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\023f3948c8f45b566e362749fd58f978.sol
02acbeead59dad91370efebd635b0f1a,be5636201691f77f3636f17d603a4741edf0c64c6998886a7f0847c88c220f55,1,8,3,5,5,bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,bad_randomness|reentrancy|unchecked_low_calls,104|107|113|114|120|128,CodeSmells|Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\02acbeead59dad91370efebd635b0f1a.sol
02c4733fb2afbf2b94e03fff0c790760,0f5af74e02a72066d3f3600d55271b2d9466ffa3932c168418fbf64762eff550,1,6,1,5,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic,101|104|107|113|114|120,Zeus,C:\Users\Exauce\Documents\smart-contract-cgt\source\02c4733fb2afbf2b94e03fff0c790760.sol
02ee0441682fa5ce7f0bf91b3bede6a4,98a56dde6386abd8ecb859f57f7ab612383e84635284ce691ad947c19784d6f0,1,7,3,4,6,arithmetic|bad_randomness|denial_service|front_running|reentrancy|unchecked_low_calls,arithmetic|front_running|unchecked_low_calls,101|104|107|113|114|120,Zeus|eThor,C:\Users\Exauce\Documents\smart-contract-cgt\source\02ee0441682fa5ce7f0bf91b3bede6a4.sol
032cf60cd0f1caefc33e33f687f018ff,72891e39726792ccf3b0aa3a6aa62bc9f9b133db17f73ac16d27cebdfc13dada,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\032cf60cd0f1caefc33e33f687f018ff.sol
038fd9b9bdfc5609cc410cc8f022da05,3a83568d8276ea9f6be746757c90d41d333e435b28bc12043834186dea6cfa5f,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\038fd9b9bdfc5609cc410cc8f022da05.sol
03cb12826f2844106216a23484264edf,2e9af0ea8da76f9986ef6c54f69b1e7c05cc7e711f3af87c37897bc253baf041,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\03cb12826f2844106216a23484264edf.sol
03db73cf0a20259b803a8b76d4f08a93,8b0e2e7f0b911762a010998434b3a045668cb7a1cd0d7f7eb8bfa25842d8c79a,1,1,1,0,1,bad_randomness,bad_randomness,120,ContractFuzzer,C:\Users\Exauce\Documents\smart-contract-cgt\source\03db73cf0a20259b803a8b76d4f08a93.sol
03dd87f7eb98c47880114e522233a79c,8d4695b1aa1e0daaeea55bcfc3127a6a8159f79cca48b3875aec0af9d762446c,0,5,0,5,4,bad_randomness|denial_service|reentrancy|unchecked_low_calls,,104|107|113|120|128,CodeSmells,C:\Users\Exauce\Documents\smart-contract-cgt\source\03dd87f7eb98c47880114e522233a79c.sol
