variant,runs,parameters,trainable_parameters,training_seconds_mean,latency_median_ms,latency_p95_ms,validation_recall_at_fpr_mean,validation_f1_macro_mean,validation_auc_mean,validation_log_loss_mean,epoch_wall_seconds_median,epoch_wall_seconds_maximum,timing_has_large_pause,test_all_raw_f1_macro_mean,test_all_raw_f1_macro_std,test_all_raw_recall_vulnerable_mean,test_all_raw_recall_vulnerable_std,test_all_raw_false_positive_rate_mean,test_all_raw_false_positive_rate_std,test_all_raw_precision_vulnerable_mean,test_all_raw_precision_vulnerable_std,test_all_raw_roc_auc_mean,test_all_raw_roc_auc_std,test_all_raw_brier_score_mean,test_all_raw_brier_score_std,test_all_raw_ece_10_bins_mean,test_all_raw_ece_10_bins_std,test_all_raw_log_loss_mean,test_all_raw_log_loss_std,test_all_calibrated_f1_macro_mean,test_all_calibrated_f1_macro_std,test_all_calibrated_recall_vulnerable_mean,test_all_calibrated_recall_vulnerable_std,test_all_calibrated_false_positive_rate_mean,test_all_calibrated_false_positive_rate_std,test_all_calibrated_precision_vulnerable_mean,test_all_calibrated_precision_vulnerable_std,test_all_calibrated_roc_auc_mean,test_all_calibrated_roc_auc_std,test_all_calibrated_brier_score_mean,test_all_calibrated_brier_score_std,test_all_calibrated_ece_10_bins_mean,test_all_calibrated_ece_10_bins_std,test_all_calibrated_log_loss_mean,test_all_calibrated_log_loss_std,test_all_fpr_operating_point_f1_macro_mean,test_all_fpr_operating_point_f1_macro_std,test_all_fpr_operating_point_recall_vulnerable_mean,test_all_fpr_operating_point_recall_vulnerable_std,test_all_fpr_operating_point_false_positive_rate_mean,test_all_fpr_operating_point_false_positive_rate_std,test_all_fpr_operating_point_precision_vulnerable_mean,test_all_fpr_operating_point_precision_vulnerable_std,test_all_fpr_operating_point_roc_auc_mean,test_all_fpr_operating_point_roc_auc_std,test_all_fpr_operating_point_brier_score_mean,test_all_fpr_operating_point_brier_score_std,test_all_fpr_operating_point_ece_10_bins_mean,test_all_fpr_operating_point_ece_10_bins_std,test_all_fpr_operating_point_log_loss_mean,test_all_fpr_operating_point_log_loss_std,test_collision_free_raw_f1_macro_mean,test_collision_free_raw_f1_macro_std,test_collision_free_raw_recall_vulnerable_mean,test_collision_free_raw_recall_vulnerable_std,test_collision_free_raw_false_positive_rate_mean,test_collision_free_raw_false_positive_rate_std,test_collision_free_raw_precision_vulnerable_mean,test_collision_free_raw_precision_vulnerable_std,test_collision_free_raw_roc_auc_mean,test_collision_free_raw_roc_auc_std,test_collision_free_raw_brier_score_mean,test_collision_free_raw_brier_score_std,test_collision_free_raw_ece_10_bins_mean,test_collision_free_raw_ece_10_bins_std,test_collision_free_raw_log_loss_mean,test_collision_free_raw_log_loss_std,test_collision_free_calibrated_f1_macro_mean,test_collision_free_calibrated_f1_macro_std,test_collision_free_calibrated_recall_vulnerable_mean,test_collision_free_calibrated_recall_vulnerable_std,test_collision_free_calibrated_false_positive_rate_mean,test_collision_free_calibrated_false_positive_rate_std,test_collision_free_calibrated_precision_vulnerable_mean,test_collision_free_calibrated_precision_vulnerable_std,test_collision_free_calibrated_roc_auc_mean,test_collision_free_calibrated_roc_auc_std,test_collision_free_calibrated_brier_score_mean,test_collision_free_calibrated_brier_score_std,test_collision_free_calibrated_ece_10_bins_mean,test_collision_free_calibrated_ece_10_bins_std,test_collision_free_calibrated_log_loss_mean,test_collision_free_calibrated_log_loss_std,test_collision_free_fpr_operating_point_f1_macro_mean,test_collision_free_fpr_operating_point_f1_macro_std,test_collision_free_fpr_operating_point_recall_vulnerable_mean,test_collision_free_fpr_operating_point_recall_vulnerable_std,test_collision_free_fpr_operating_point_false_positive_rate_mean,test_collision_free_fpr_operating_point_false_positive_rate_std,test_collision_free_fpr_operating_point_precision_vulnerable_mean,test_collision_free_fpr_operating_point_precision_vulnerable_std,test_collision_free_fpr_operating_point_roc_auc_mean,test_collision_free_fpr_operating_point_roc_auc_std,test_collision_free_fpr_operating_point_brier_score_mean,test_collision_free_fpr_operating_point_brier_score_std,test_collision_free_fpr_operating_point_ece_10_bins_mean,test_collision_free_fpr_operating_point_ece_10_bins_std,test_collision_free_fpr_operating_point_log_loss_mean,test_collision_free_fpr_operating_point_log_loss_std,test_roc_recall_at_fpr_0_10_mean
codet5_frozen_full,3,35349313,32833,6.397031433337058,558.4847500140313,2064.8169800027968,0.7494061757719715,0.8312521623257806,0.9111784157564101,0.3881396606180528,0.757803899992723,0.9067669999785721,False,0.8297202202233316,0.00941686117941552,0.8416468725257324,0.003428445779035794,0.18185313341022682,0.015574493733586388,0.818118640450483,0.013285339014808273,0.909289867500258,0.01319081262109094,0.12075656021125176,0.010184315321173669,0.030824379753110292,0.01690970397872704,0.3856762174030201,0.0328763593065766,0.8339687881186721,0.012633293209247887,0.8618368962787016,0.017183320993040933,0.19300269127258748,0.01376049993708056,0.8126493257398769,0.012230653230770593,0.909289867500258,0.01319081262109094,0.12143447996578939,0.01006067531934217,0.04006394328075902,0.013308378136772814,0.388997834709438,0.031305491101714926,0.7821500964328338,0.01818897093293181,0.6322248614410135,0.031000430642045745,0.06036139946174548,0.004661420858509086,0.9103081416804862,0.008966695358627645,0.909289867500258,0.01319081262109094,0.12143447996578939,0.01006067531934217,0.04006394328075902,0.013308378136772814,0.388997834709438,0.031305491101714926,0.8293736799025955,0.0105921487992336,0.8469174503657263,0.017617257366862427,0.18686131386861315,0.01974853906345794,0.808710840538705,0.015381349592466856,0.9119404464987149,0.008256960940859107,0.12024547474871185,0.008473530927307203,0.04153936023442189,0.026177283034768017,0.3845595089653499,0.02612409504415816,0.8332019873008386,0.010940586873861803,0.8683385579937304,0.00683213000554963,0.1995133819951338,0.014767874360577632,0.8021962125936039,0.013058118736710223,0.9119404464987149,0.008256960940859107,0.12097745177541652,0.008219918395823466,0.050071741800890614,0.020890074700979235,0.38821124436389676,0.024906896445530208,0.7858829470614067,0.015143103329366027,0.6353187042842214,0.02670716388533345,0.06034063260340633,0.003371388433224094,0.9073414905450501,0.007015825245254203,0.9119404464987149,0.008256960940859107,0.12097745177541652,0.008219918395823466,0.050071741800890614,0.020890074700979235,0.38821124436389676,0.024906896445530208,0.7165479018210611
tfidf_full,1,20001,20001,26.35234159999527,2.4203000066336244,5.7663600135128945,0.7363420427553444,0.7897861636091799,0.8961143210952118,0.45242930708416673,,,False,0.8083157865763869,0.0,0.8919239904988123,0.0,0.2710495963091119,0.0,0.7616632860040567,0.0,0.9049963425358964,0.0,0.13341341988185876,0.0,0.0807363301895867,0.0,0.4237572408948096,0.0,0.8138798172024746,0.0,0.8420427553444181,0.0,0.21337946943483277,0.0,0.7930648769574944,0.0,0.9049963425358964,0.0,0.13234452927091406,0.0,0.07998221834602444,0.0,0.4198737344935441,0.0,0.7700834244305952,0.0,0.6187648456057007,0.0,0.07035755478662054,0.0,0.8951890034364262,0.0,0.9049963425358964,0.0,0.13234452927091406,0.0,0.07998221834602444,0.0,0.4198737344935441,0.0,0.8128803245436105,0.0,0.9263322884012539,0.0,0.2905109489051095,0.0,0.7481012658227848,0.0,0.9190101366038945,0.0,0.13168038537677346,0.0,0.10702318991891266,0.0,0.4197275251264395,0.0,0.8229592233542714,0.0,0.8855799373040752,0.0,0.23503649635036497,0.0,0.778236914600551,0.0,0.9190101366038945,0.0,0.13049969473096468,0.0,0.10654524460848738,0.0,0.41535835286916406,0.0,0.7919352339998028,0.0,0.658307210031348,0.0,0.072992700729927,0.0,0.8936170212765957,0.0,0.9190101366038945,0.0,0.13049969473096468,0.0,0.10654524460848738,0.0,0.41535835286916406,0.0,0.7161520190023754
cnn_bilstm_full,3,277209,277209,152.5091767999887,3.0019500118214637,8.686795001267456,0.7209026128266034,0.8172915217875497,0.9063282804622013,0.4065494916791499,20.700448150004377,21.445836200000485,False,0.8450184101302364,0.013316594841900616,0.8630245447347585,0.04045566019262224,0.17224144559784696,0.031845887566134275,0.8303096258983685,0.022257675994914922,0.9159162244377047,0.009030854027306584,0.11390847750967724,0.005031720185751198,0.033780012215169145,0.004488924541102621,0.36780666229043474,0.01630130286736253,0.8453593549934902,0.0136898652273983,0.8907363420427554,0.01843726210957248,0.19838523644752018,0.012687427912341398,0.8134455165091942,0.011801908175468905,0.9159162244377047,0.009030854027306584,0.1136039927455386,0.005143148480991686,0.03967704996207515,0.004843418709806933,0.3678142031610106,0.015812284689408086,0.8053679520702177,0.009742727064835454,0.6935866983372921,0.024541541947472448,0.07996924259900039,0.006659172655012988,0.8939921110043348,0.004646528833616483,0.9159162244377047,0.009030854027306584,0.1136039927455386,0.005143148480991686,0.03967704996207515,0.004843418709806933,0.3678142031610106,0.015812284689408086,0.8421598937900422,0.01198915236752122,0.8662486938349007,0.039817259944112136,0.18004866180048662,0.030283908287107756,0.8182768305957572,0.020654829382248656,0.9192610728477831,0.007865160094299592,0.11386496790908346,0.00376730748918701,0.038973065143630616,0.013000756664121465,0.36434551024976586,0.012451984007906114,0.8432076512172705,0.014168488415804455,0.8965517241379309,0.019639442141287898,0.20632603406326036,0.013165692708971964,0.8018693618713261,0.012362783474219631,0.9192610728477831,0.007865160094299592,0.11318318496335524,0.004290618212440341,0.03761306171247295,0.005977667960623595,0.36427274509182667,0.013425910402806187,0.8141229508429696,0.008506901366227202,0.7126436781609194,0.02698171647581057,0.08515815085158152,0.012415913208927565,0.8866197444811998,0.011047467180070877,0.9192610728477831,0.007865160094299592,0.11318318496335524,0.004290618212440341,0.03761306171247295,0.005977667960623595,0.36427274509182667,0.013425910402806187,0.7498020585906572
cnn_full,3,263001,263001,153.45819663333046,1.7442000098526478,3.401600001961924,0.718923198733175,0.8033204208847216,0.9044059428997252,0.4168275508525407,18.496718100010185,19.266186699998798,False,0.8367146016144965,0.01863625771250657,0.8796516231195567,0.01901474261048746,0.2045367166474433,0.039356780801954504,0.8076442668155424,0.028809706603964712,0.9145002698578383,0.013964485489458252,0.12012168692864877,0.01636860785451658,0.05420994123598164,0.02403241781932912,0.38284422199165835,0.04723398437959366,0.8336291994965143,0.014644932233630456,0.8796516231195567,0.008992728971971896,0.2106881968473664,0.021340544538835705,0.8023210566173503,0.017419011840924842,0.9145002698578383,0.013964485489458252,0.11989672203535183,0.014723035679186506,0.059335553878415964,0.017561303658373818,0.3837345845897837,0.04163248759182737,0.7850649306633498,0.0164212110102601,0.6464766429136976,0.02235599034599447,0.07035755478662054,0.009154848827213118,0.8990532584872666,0.014766869550086005,0.9145002698578383,0.013964485489458252,0.11989672203535183,0.014723035679186506,0.059335553878415964,0.017561303658373818,0.3837345845897837,0.04163248759182737,0.843329778869629,0.01883485409231893,0.9017763845350052,0.014222212736485048,0.21070559610705594,0.04399791075431904,0.8005096439036331,0.03162520070672759,0.921718570044772,0.011060370029022085,0.11733017000145503,0.017267803078115075,0.06690102644689891,0.032326691244725675,0.37599632804259125,0.050251592857378576,0.8406135533405122,0.011577314567986222,0.9012539184952978,0.00470219435736674,0.21557177615571776,0.023097701773831286,0.7959264479769373,0.01706294628789259,0.921718570044772,0.011060370029022085,0.11717081579563939,0.015337453081514293,0.07400426907141429,0.02421936461561334,0.3774280304001296,0.04393839117208433,0.7992891080434218,0.01574007281628961,0.6713688610240335,0.019597700452989624,0.07201946472019465,0.010957012407978299,0.8966035706024641,0.016785502512771507,0.921718570044772,0.011060370029022085,0.11717081579563939,0.015337453081514293,0.07400426907141429,0.02421936461561334,0.3774280304001296,0.04393839117208433,0.7019002375296912
bilstm_full,3,270273,270273,785.104482099996,6.97325001237914,18.48973999731241,0.6868566904196358,0.8054402151471723,0.8969225247734975,0.42474243567963404,101.7122631999955,104.36198909999803,False,0.8300357661218856,0.004895448838582413,0.8357086302454473,0.023584118778474206,0.17531718569780855,0.02796852515105453,0.8230249357335491,0.02007852249163173,0.9065798738106391,0.007083312945814616,0.12587500829735696,0.008929723515486834,0.058144042511120854,0.021201459800476864,0.4045370140067441,0.028583462648447876,0.8310328431123658,0.007118209280128183,0.8816310372129849,0.005485513246457206,0.21760861207227988,0.01656782885537505,0.7974922437760125,0.011579101104109387,0.9065798738106391,0.007083312945814616,0.1244241381798299,0.006416130090360153,0.05404462783410477,0.01168415086334643,0.40089080423398604,0.02182343985669135,0.763111315587901,0.019111043503839104,0.6025336500395883,0.03242374541479536,0.06612841214917341,0.0026636690620052,0.8982153972991189,0.008599749877396127,0.9065798738106391,0.007083312945814616,0.1244241381798299,0.006416130090360153,0.05404462783410477,0.01168415086334643,0.40089080423398604,0.02182343985669135,0.838663892109564,0.006176674392093172,0.8531870428422152,0.017336112876736722,0.17469586374695864,0.02571719758973005,0.8203142154405586,0.01934183204292864,0.9111670442151186,0.0052547362306465855,0.12308250622542131,0.009591989916098434,0.061183435156321464,0.028593418292349317,0.39925795147189885,0.030255802506157427,0.8361039110124177,0.007228006258286731,0.8955067920585162,0.003619750904010212,0.218978102189781,0.011021656109884306,0.7920975486617564,0.008814552488507876,0.9111670442151186,0.0052547362306465855,0.12148063726762769,0.00682102222904154,0.056439853388731885,0.01517426941159989,0.3953670995878859,0.022867427341034776,0.7772708099327675,0.017616002627446656,0.6243469174503656,0.03495450090632756,0.06569343065693431,0.0029197080291970823,0.8984484971763732,0.0019103091113785659,0.9111670442151186,0.0052547362306465855,0.12148063726762769,0.00682102222904154,0.056439853388731885,0.01517426941159989,0.3953670995878859,0.022867427341034776,0.6955661124307205
codet5_frozen_first512,3,35349313,32833,5.9335210333423065,310.10579998837784,348.87844001641497,0.630245447347585,0.780365429375358,0.868225129929015,0.46210980014078595,0.7512082999746781,0.9027014999883249,False,0.796903702332118,0.0055343486919681405,0.8091844813935075,0.02440706673285568,0.21491733948481354,0.016727650840297648,0.7854492059689614,0.008813079126564448,0.8831798659569086,0.0062093261984113145,0.13957043841067504,0.0029386110919049128,0.036676039458459285,0.011376104222707297,0.4334132609523907,0.005988330166954225,0.781396896329135,0.002866390499146149,0.8661916072842438,0.01153507702639233,0.29873125720876587,0.013984262575527257,0.738036063548829,0.006742207703274176,0.8831798659569086,0.0062093261984113145,0.1407717624488004,0.0018286097281985992,0.048579062938446244,0.013528781527685392,0.43758361904757154,0.003010431266409582,0.739677389123251,0.011608409814840815,0.5482977038796516,0.01959919840773803,0.05151864667435602,0.004366711530796059,0.9117432654634418,0.007634390983140535,0.8831798659569086,0.0062093261984113145,0.1407717624488004,0.0018286097281985992,0.048579062938446244,0.013528781527685392,0.43758361904757154,0.003010431266409582,0.8094148144543022,0.003252187699414578,0.8463949843260187,0.03130875290821028,0.2248175182481752,0.025453424487828752,0.7785808115579415,0.01376976114692747,0.8980588670495541,0.008258125065098886,0.13181686996360104,0.002821452200090046,0.04984982710724498,0.015830448196765358,0.4134769784406833,0.006376861676884181,0.7905295657803947,0.007727288637955478,0.8949843260188087,0.019068221098113576,0.3046228710462287,0.015609746892793605,0.7324513107665283,0.008089360676800147,0.8980588670495541,0.008258125065098886,0.1331798171616486,0.002516392564663855,0.06081166675417898,0.01757502968420241,0.4186674897393847,0.006316411058402692,0.76533059356409,0.013857614957176745,0.593521421107628,0.02224012189529025,0.055961070559610714,0.00469277409294061,0.907944438334431,0.009458278882239303,0.8980588670495541,0.008258125065098886,0.1331798171616486,0.002516392564663855,0.06081166675417898,0.01757502968420241,0.4186674897393847,0.006316411058402692,0.663895486935867
bilstm_first512,3,270273,270273,7093.577518199997,3.4490999823901802,4.932829993776977,0.6167854315122724,0.7594139448217933,0.8399213348419803,0.4959005871626176,28.319434549994185,16490.470290699974,True,0.7734300166372584,0.007968783606412667,0.7375296912114013,0.05451552217353208,0.1899269511726259,0.046284842891646104,0.7923190626853178,0.027221946435588992,0.8493871350412459,0.012743191382315795,0.16053289209590058,0.0059120319207529946,0.06219387886431129,0.009454534509020823,0.4877241709549626,0.016389725612846212,0.7468288883607879,0.0027766835898349637,0.8697545526524149,0.0069589848896464785,0.36678200692041524,0.009854675600135553,0.697274214632999,0.004234635195507089,0.8493871350412459,0.012743191382315795,0.1588507476414724,0.004117530512684559,0.047891058812171115,0.005294392331437044,0.4833664507789841,0.012080694452100244,0.7121708215580288,0.01468052826721477,0.5170229612034839,0.02919619013062914,0.07151095732410612,0.00944100665729233,0.8755555147561317,0.01194017901652228,0.8493871350412459,0.012743191382315795,0.1588507476414724,0.004117530512684559,0.047891058812171115,0.005294392331437044,0.4833664507789841,0.012080694452100244,0.7954699285010977,0.014412508244965618,0.8025078369905957,0.05565918778860407,0.21021897810218979,0.048042285173443305,0.782143827261975,0.02819299627062168,0.8810646103623703,0.008363280611768107,0.14853026627163493,0.004330809809405021,0.08269376445696937,0.0012129743200009005,0.4606107337965639,0.011805493999639026,0.7577243148769983,0.005429174387017134,0.9216300940438872,0.004146945628627886,0.3873479318734793,0.008553963908149354,0.689081269136579,0.004961907212708528,0.8810646103623703,0.008363280611768107,0.1455214292449752,0.0014072918201217073,0.06905891938162906,0.012517404929283623,0.45269979800083165,0.0030218652025210007,0.754989705223655,0.0067715870913223845,0.59717868338558,0.01807611691954668,0.08126520681265208,0.010957012407978294,0.872809948832931,0.012698847918980375,0.8810646103623703,0.008363280611768107,0.1455214292449752,0.0014072918201217073,0.06905891938162906,0.012517404929283623,0.45269979800083165,0.0030218652025210007,0.5807600950118765
cnn_bilstm_first512,3,277209,277209,8269.310901166677,2.3270499950740486,3.117815006407909,0.6084718923198733,0.7547960679319577,0.8370257282737045,0.49600979284910846,3.8670349500025623,24710.274288300017,True,0.7587072957938096,0.014027981531541509,0.682897862232779,0.07019193280659003,0.16262975778546715,0.04921935015767443,0.8063435020320652,0.03520532437193696,0.8596556595718257,0.011008294467302825,0.15870154557512392,0.008904045534572155,0.06350982140715829,0.008253797920264542,0.4820098195871163,0.021834073365765424,0.7484803304963342,0.019619768796742147,0.8812351543942993,0.012512652913126757,0.3733179546328335,0.044317281822087065,0.696924662601306,0.02208989691663612,0.8596556595718257,0.011008294467302825,0.15713552168633596,0.008423182144718154,0.06257261614546569,0.012259978025186982,0.4775784266010527,0.020146080012523243,0.736271315075428,0.010896884939829711,0.5712589073634204,0.0208092820284266,0.08612072279892348,0.004661420858509093,0.8656168682606223,0.005856052880652098,0.8596556595718257,0.011008294467302825,0.15713552168633596,0.008423182144718154,0.06257261614546569,0.012259978025186982,0.4775784266010527,0.020146080012523243,0.7768903492377296,0.018653891026935442,0.7309299895506792,0.0782182440561001,0.17664233576642338,0.046348928077043924,0.7964927271536614,0.028716017338970164,0.8758338481721316,0.01368534750794675,0.1498322255241633,0.008640956697408898,0.06768002333244437,0.009345154503565597,0.4613021789785951,0.02056426758610399,0.7628265943581441,0.021481244059712155,0.9038662486938348,0.008632555716749394,0.36301703163017035,0.04390092773244394,0.6993509738199006,0.023514762706331793,0.8758338481721316,0.01368534750794675,0.14809748382270593,0.00830169257830243,0.06850744377063002,0.009437002368316951,0.45658231632084106,0.01920812298748797,0.7568994157558381,0.010255731267793826,0.6165099268547544,0.021624035618155565,0.09878345498783454,0.009937020854823423,0.8533568741261389,0.011463971107199,0.8758338481721316,0.01368534750794675,0.14809748382270593,0.00830169257830243,0.06850744377063002,0.009437002368316951,0.45658231632084106,0.01920812298748797,0.6009501187648456
tfidf_first512,1,13908,13908,10.11160609999206,1.5475499967578799,1.8266550207044927,0.6057007125890737,0.7027230024601205,0.8328395071875334,0.5449729319095807,,,False,0.7449127411164524,0.0,0.8669833729216152,0.0,0.3679354094579008,0.0,0.6959008579599618,0.0,0.8602129548200445,0.0,0.16129136646039663,0.0,0.08663684220205292,0.0,0.48828697422718464,0.0,0.7444443866195509,0.0,0.8752969121140143,0.0,0.3760092272202999,0.0,0.6933207902163687,0.0,0.8602129548200445,0.0,0.16190797817863586,0.0,0.08951637788706496,0.0,0.4910215612661688,0.0,0.7219674646923941,0.0,0.5356294536817102,0.0,0.07381776239907728,0.0,0.8757281553398059,0.0,0.8602129548200445,0.0,0.16190797817863586,0.0,0.08951637788706496,0.0,0.4910215612661688,0.0,0.753393085787452,0.0,0.9169278996865203,0.0,0.39124087591240875,0.0,0.6858147713950762,0.0,0.8909857446857194,0.0,0.15328508668898874,0.0,0.11815195069845398,0.0,0.46876790371668214,0.0,0.7498174433929055,0.0,0.9216300940438872,0.0,0.40145985401459855,0.0,0.6813441483198146,0.0,0.8909857446857194,0.0,0.15383321553932433,0.0,0.12072381217182025,0.0,0.47152024142129667,0.0,0.7722355045363232,0.0,0.6347962382445141,0.0,0.08759124087591241,0.0,0.8709677419354839,0.0,0.8909857446857194,0.0,0.15383321553932433,0.0,0.12072381217182025,0.0,0.47152024142129667,0.0,0.5985748218527316
cnn_first512,3,263001,263001,43.18925880000461,1.3208500167820603,1.7456400033552197,0.6013460015835312,0.7584519644709404,0.8349008831794092,0.49920147551080496,5.801899250000133,6.234146700007841,False,0.766416592705431,0.016238659702620076,0.7062549485352335,0.04974437356721486,0.17224144559784701,0.03491464616103828,0.8004445458609445,0.02579862344861925,0.8458223632240843,0.021912132972244605,0.16311459893979077,0.011416710192504622,0.07495054407367237,0.025587388533532332,0.4940647461991328,0.029567457526345462,0.7496341279200159,0.0087085349261826,0.8677751385589865,0.016036919319500468,0.35986159169550175,0.010055130204246069,0.7007703758456719,0.006509342926244997,0.8458223632240843,0.021912132972244605,0.1586588121372197,0.009696966605319532,0.04937054409385975,0.012091193368001033,0.48050368225861045,0.026042116628410706,0.7231922861275436,0.020986391842424505,0.5451306413301663,0.041089890479824656,0.08227604767397155,0.008343919421072933,0.8655072442665167,0.009545674597483745,0.8458223632240843,0.021912132972244605,0.1586588121372197,0.009696966605319532,0.04937054409385975,0.012091193368001033,0.48050368225861045,0.026042116628410706,0.8023767821665189,0.00994684691066169,0.7962382445141065,0.026737808948639478,0.19124087591240876,0.03476169605778295,0.7959811206233963,0.026106954331566727,0.8796337398653029,0.012577435198330857,0.15048854685754928,0.010436774150142231,0.09378503929250141,0.026227052939827265,0.465354982058738,0.027982534921401254,0.7603066446339565,0.013604322926542322,0.9237199582027168,0.009576960700012193,0.3844282238442822,0.017416574372918027,0.6912233412989263,0.011610375830468516,0.8796337398653029,0.012577435198330857,0.14191409471435137,0.007157824939687358,0.06302378351947914,0.016720170500394746,0.4403986656520187,0.020275868044718443,0.7673381205730525,0.005186681320422396,0.6306165099268548,0.0157781283913704,0.09294403892944038,0.010957012407978297,0.8636235541552706,0.011923350810363595,0.8796337398653029,0.012577435198330857,0.14191409471435137,0.007157824939687358,0.06302378351947914,0.016720170500394746,0.4403986656520187,0.020275868044718443,0.598178939034046
